Type,Form,Sub-Category,Brand,Product Name,Price,Mo. Sales,Mo. Revenue,Rank,D. Sales,Date First Available,Reviews,Rating,ASIN,Link,Date Year,ASIN2,len,Mo_Revenue_Mln,Joints,Body,Digestive,Skin,Respiratore,Inner
Dogs,Chews,Probiotics,Amazing Nutritionals,amazing probiotics for dogs eliminates diarrhea and gas with hip joint pain relief 120 chews,29.97,1117,33476,5190,36,6/7/2014,1627,45,B00KTY7W94,https://www.amazon.com/Amazing-Probiotics-Eliminates-Diarrhea-Relief/dp/B00KTY7W94/ref=zg_bs_3024222011_21?_encoding=UTF8&psc=1&refRID=J6X12FAA51FQK6Z3EEX8,2014,B00KTY7W94,14,0.0335,Joint,,Digestive,,,
Cats,Powder,Probiotics,Purina Fortiflora,purina 3-pack fortiflora feline nutritional supplement for pets,90.54,2348,212588,8723,20,2/5/2009 0:00,970,48,B00B7N5JJG,https://www.amazon.com/Purina-3-Pack-Fortiflora-Nutritional-Supplement/dp/B00B7N5JJG/ref=zg_bs_3024167011_7?_encoding=UTF8&psc=1&refRID=ZM1G5KK3CS4DPR3MBKDE,2009,B00B7N5JJG,14,0.2126,,,,,,Inner
Dogs,Tablets/Softgel,Fish Oil Supplements,Nutramax Laboratories,nutramax welactin for dogs,24.99,7187,179603,496,257,4/6/2007 0:00,4189,47,B001FB6ECQ,https://www.amazon.com/Nutramax-Welactin-Nutritional-Supplement-Liquid/dp/B001FB6ECQ/ref=zg_bs_2975397011_11?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2007,B001FB6ECQ,24,0.1796,,,,,,
Dogs,Tablets/Softgel,Multivitamins,Ocu-GLO,ocu-glo vision supplement animal necessity - lutein omega-3 fatty acids grapeseed extract support optimal eye health & vision in dogs - antioxidants for canine ocular health,78.75,1873,147499,2478,62,4/9/2013,1852,45,B00CMORHV2,https://www.amazon.com/dp/B00CMORHV2,2013,B00CMORHV2,17,0.1475,,Body,,,,
Dogs,Chews,Herbal Supplements,Zesty Paws,zesty paws cranberry bites for dogs - kidney bladder & urinary tract (ut) support - functional dog supplement with d mannose marshmallow & organic astragalus - immune system support for canine pets,26.67,5119,136524,928,167,2/2/2017,7516,45,B01NHETZCR,https://www.amazon.com/Cranberry-Dogs-Incontinence-Supplement-Marshmallow/dp/B01NHETZCR/ref=zg_bs_2975397011_19?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2017,B01NHETZCR,22,0.1365,,,,,,Inner
Dogs,Chews,Multivitamins,Nutramax Laboratories,nutramax laboratories 21 count cranandin pet supplement,54.45,2281,124200,2157,84,2/9/2012,1305,47,B0077CYK6E,https://www.amazon.com/Nutramax-Crananidin-Chewables-75-Count/dp/B0077CYK6E/ref=zg_bs_2975397011_50?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2012,B0077CYK6E,17,0.1242,,,,,,
Dogs,Powder,Multivitamins,MYOS CANINE MUSCLE FORMULA,myos canine muscle formula - clinically proven all-natural muscle building supplement - reduce muscle loss in aging dogs and improve recovery from injury or surgery,84.99,1390,118136,4239,46,8/29/2018,619,44,B07GY12825,https://www.amazon.com/dp/B07GY12825,2018,B07GY12825,17,0.1181,Joint,,,,,
Dogs,Chews,Multivitamins,PetHonesty,pethonesty cranberry for dogs - bladder support - dog uti treatment food - bladder infection relief urinary tract health ut incontinence immune system d mannose,25.99,3400,88366,2520,113,11/11/2019,514,44,B07FQSRB97,https://www.amazon.com/dp/B07FQSRB97,2019,B07FQSRB97,17,0.0884,,,,,,Inner
Cats&Dogs,Capsules,Multivitamins,AminAvast,aminavast kidney support supplement for cats and dogs 300mg - promotes natural kidney function - aids in health and vitality of aging kidneys - easily administered - 60 sprinkle capsules,35,481,16835,9379,18,9/6/2017 0:00,467,46,B075FC55FC,https://www.amazon.com/AminAvast-Kidney-Support-Supplement-300mg/dp/B075FC55FC/ref=zg_bs_3024166011_28?_encoding=UTF8&psc=1&refRID=16Q0DR83JKT4NZZ8AAVY,2017,B075FC55FC,22,0.0168,Joint,,,,,Inner
Cats&Dogs,Capsules,Amino Acids,AminAvast,aminavast kidney support supplement for cats and dogs 1000mg - promotes natural kidney function - aids in health and vitality of aging kidneys - easily administered - 60 sprinkle capsules,55,65,3575,42851,2,8/5/2015 0:00,188,45,B013H1LVD8,https://www.amazon.com/AminAvast-Kidney-Support-Dogs-Capsules/dp/B013H1LVD8/ref=zg_bs_3024216011_4?_encoding=UTF8&psc=1&refRID=YQV57CH83W31J3C5KVPT,2015,B013H1LVD8,20,0.0036,Joint,,,,,Inner
